,kepoi_name,koi_prad,koi_insol,koi_score,size_category
3432,K00734.01,3.08,34.07,1.0,neptune-like
3430,K00733.04,2.14,16.91,1.0,super-earth-like
3429,K00733.03,1.39,181.84,1.0,earth-like
3428,K00694.01,3.11,48.91,1.0,neptune-like
3427,K00693.02,2.05,78.01,1.0,super-earth-like
3424,K00692.02,2.22,297.73,1.0,super-earth-like
3423,K00692.01,1.33,730.86,1.0,earth-like
3422,K00640.01,2.43,14.72,1.0,super-earth-like
3421,K00639.01,2.89,111.12,1.0,super-earth-like
3419,K00638.01,2.9,29.65,1.0,super-earth-like
3417,K00733.02,2.39,32.75,1.0,super-earth-like
3416,K00733.01,3.15,77.91,1.0,neptune-like
3412,K00732.01,3.57,1435.82,1.0,neptune-like
3411,K00691.02,1.21,90.93,1.0,earth-like
1019,K01716.01,1.55,141.0,1.0,super-earth-like
1017,K01713.02,1.22,115.98,1.0,earth-like
1013,K01603.01,1.31,744.35,1.0,earth-like
1008,K01302.01,3.13,12.33,1.0,neptune-like
1007,K01301.02,2.68,12.38,1.0,super-earth-like
1006,K01238.01,2.18,31.58,1.0,super-earth-like
1000,K01426.01,2.81,15.89,1.0,super-earth-like
999,K01425.01,2.74,1271.11,1.0,super-earth-like
998,K01424.01,1.51,578.96,1.0,super-earth-like
997,K01423.01,10.3,7.07,1.0,Gas-Giant
1038,K01721.01,3.68,20.65,1.0,neptune-like
1034,K01608.01,1.66,200.99,1.0,super-earth-like
1032,K01606.01,1.4,175.06,1.0,earth-like
1031,K01557.04,1.09,395.06,1.0,earth-like
1030,K00180.01,2.19,81.61,1.0,super-earth-like
1029,K01557.03,2.33,73.19,1.0,super-earth-like
1028,K01557.02,2.41,32.98,1.0,super-earth-like
1027,K01557.01,2.81,138.38,1.0,super-earth-like
1025,K01491.01,2.15,342.76,1.0,super-earth-like
1022,K01488.01,2.32,206.05,1.0,super-earth-like
3410,K00691.01,2.83,40.68,1.0,super-earth-like
3409,K00107.01,3.53,432.1,1.0,neptune-like
3406,K00689.01,1.53,37.68,1.0,super-earth-like
3405,K00688.01,3.54,2121.23,1.0,neptune-like
3400,K00632.01,1.34,104.51,1.0,earth-like
3394,K00730.03,3.57,75.23,1.0,neptune-like
3389,K00685.01,3.07,1769.83,1.0,neptune-like
3382,K00629.01,3.2,52.05,1.0,neptune-like
3381,K00628.01,2.88,89.16,1.0,super-earth-like
3379,K00730.01,3.46,110.42,1.0,neptune-like
1072,K01563.04,2.56,26.06,1.0,super-earth-like
1071,K01563.03,1.7,236.11,1.0,super-earth-like
1069,K01563.01,3.24,115.29,1.0,neptune-like
1066,K01499.01,2.35,54.95,1.0,super-earth-like
1059,K01725.01,1.6,5.65,1.0,super-earth-like
1058,K01724.01,3.29,64.13,1.0,neptune-like
1057,K01615.01,1.16,2393.35,1.0,earth-like
1054,K01613.01,1.31,141.18,1.0,earth-like
1053,K01612.01,0.69,1406.11,1.0,earth-like
3371,K00476.01,2.24,18.05,1.0,super-earth-like
3370,K00475.02,2.34,26.98,1.0,super-earth-like
3369,K00475.01,2.1,62.21,1.0,super-earth-like
3365,K00420.01,3.8,82.31,1.0,neptune-like
3359,K00574.01,2.98,20.66,1.0,super-earth-like
3357,K00573.01,2.96,260.49,1.0,super-earth-like
3356,K00572.02,1.44,566.38,1.0,earth-like
3355,K00572.01,2.87,203.48,1.0,super-earth-like
3353,K00520.02,1.61,118.56,1.0,super-earth-like
3352,K00520.01,2.58,37.95,1.0,super-earth-like
3351,K00519.02,2.76,27.24,1.0,super-earth-like
3350,K00084.01,2.1,79.68,1.0,super-earth-like
3349,K00519.01,2.56,110.54,1.0,super-earth-like
3347,K00474.04,1.63,401.23,1.0,super-earth-like
1097,K01628.01,2.62,76.57,1.0,super-earth-like
1095,K01627.01,5.75,384.86,1.0,neptune-like
1094,K01567.02,1.82,112.18,1.0,super-earth-like
1093,K01567.01,2.14,62.1,1.0,super-earth-like
1089,K01503.01,4.6,2.72,1.0,neptune-like
1086,K01501.01,1.57,233.23,1.0,super-earth-like
1084,K01736.01,2.72,34.03,1.0,super-earth-like
1081,K01732.01,2.42,10.47,1.0,super-earth-like
1079,K01626.01,2.02,519.95,1.0,super-earth-like
1077,K01621.01,2.41,177.81,1.0,super-earth-like
1130,K00176.01,3.49,76.88,1.0,neptune-like
1128,K01511.01,1.63,540.56,1.0,super-earth-like
1120,K01637.01,1.7,228.11,1.0,super-earth-like
1118,K01632.01,1.85,716.65,1.0,super-earth-like
1116,K01570.01,3.31,270.47,1.0,neptune-like
1115,K01569.01,2.81,22.57,1.0,super-earth-like
1112,K01567.03,2.23,19.38,1.0,super-earth-like
1110,K01508.01,3.05,39.69,1.0,neptune-like
1109,K01507.01,2.52,53.89,1.0,super-earth-like
1108,K01506.01,2.92,14.08,1.0,super-earth-like
1107,K01505.01,2.53,283.49,1.0,super-earth-like
1104,K01749.01,2.2,25.56,1.0,super-earth-like
1156,K01576.01,3.01,95.64,1.0,neptune-like
1152,K01574.01,12.28,12.13,1.0,Gas-Giant
1151,K01517.01,3.1,23.27,1.0,neptune-like
1150,K01516.01,3.19,74.49,1.0,neptune-like
1142,K01751.01,2.92,88.24,1.0,super-earth-like
1134,K01572.01,2.99,152.12,1.0,super-earth-like
3344,K00474.01,2.84,142.23,1.0,super-earth-like
3341,K00416.01,3.08,21.86,1.0,neptune-like
3335,K00571.03,0.97,25.26,1.0,earth-like
3334,K00571.02,1.29,4.87,1.0,earth-like
3333,K00571.01,1.14,10.93,1.0,earth-like
3328,K00518.02,1.56,4.79,1.0,super-earth-like
3327,K00518.01,2.09,22.1,1.0,super-earth-like
3326,K00517.01,2.54,455.43,1.0,super-earth-like
3323,K00472.01,3.16,301.46,1.0,neptune-like
3321,K00471.01,3.2,41.65,1.0,neptune-like
1187,K01781.02,2.2,191.27,1.0,super-earth-like
1186,K01781.01,3.47,53.33,1.0,neptune-like
1185,K01779.02,3.48,79.66,1.0,neptune-like
1184,K01779.01,3.86,274.98,1.0,neptune-like
1183,K00195.01,11.38,464.73,1.0,Gas-Giant
1181,K01655.01,1.58,2919.17,1.0,super-earth-like
1178,K01650.01,3.09,159.66,1.0,neptune-like
1175,K01577.01,1.41,83.53,1.0,earth-like
1172,K01576.02,2.71,70.51,1.0,super-earth-like
1170,K01521.01,1.95,14.85,1.0,super-earth-like
1169,K01520.01,2.5,37.81,1.0,super-earth-like
1168,K01519.01,1.55,171.63,1.0,super-earth-like
1167,K01518.01,2.58,24.71,1.0,super-earth-like
1219,K01588.01,1.42,58.08,1.0,earth-like
1217,K01586.01,1.95,62.05,1.0,super-earth-like
1216,K01585.01,2.4,39.65,1.0,super-earth-like
1214,K01530.01,1.64,105.74,1.0,super-earth-like
1213,K01529.02,1.09,131.58,1.0,earth-like
1212,K01529.01,1.58,75.61,1.0,super-earth-like
1211,K01528.01,0.93,157.1,1.0,earth-like
1205,K00171.02,2.47,203.87,1.0,super-earth-like
1197,K01583.01,2.33,126.56,1.0,super-earth-like
1192,K01526.01,1.71,518.45,1.0,super-earth-like
1191,K01525.01,4.65,1636.72,1.0,neptune-like
3320,K00470.01,4.61,383.77,1.0,neptune-like
3317,K00413.02,2.33,20.71,1.0,super-earth-like
3316,K00413.01,3.0,39.4,1.0,super-earth-like
3311,K00569.02,1.13,554.07,1.0,earth-like
3310,K00569.01,1.94,18.68,1.0,super-earth-like
3308,K00568.01,1.65,389.19,1.0,super-earth-like
3307,K00567.03,2.55,23.06,1.0,super-earth-like
3302,K00512.01,2.78,253.24,1.0,super-earth-like
3301,K00082.05,0.51,92.97,1.0,earth-like
3297,K00468.01,3.18,21.06,1.0,neptune-like
3296,K00467.01,4.96,44.29,1.0,neptune-like
3292,K00409.01,2.86,99.54,1.0,super-earth-like
3291,K00408.04,1.21,386.14,1.0,earth-like
1249,K01470.01,4.3,63.79,1.0,neptune-like
1247,K00172.01,2.23,73.16,1.0,super-earth-like
1237,K01589.03,2.56,48.29,1.0,super-earth-like
1236,K01589.02,3.15,132.23,1.0,neptune-like
1234,K01534.01,1.78,89.74,1.0,super-earth-like
1233,K01533.01,1.6,360.09,1.0,super-earth-like
1231,K01531.01,1.16,204.18,1.0,earth-like
3290,K00070.02,1.78,340.33,1.0,super-earth-like
3289,K00408.03,3.18,20.68,1.0,neptune-like
3288,K00408.02,2.74,68.49,1.0,super-earth-like
3286,K00567.02,2.16,37.12,1.0,super-earth-like
3285,K00567.01,2.64,87.41,1.0,super-earth-like
3280,K00511.02,1.28,457.15,1.0,earth-like
3279,K00511.01,2.36,197.06,1.0,super-earth-like
3276,K00510.02,2.89,209.17,1.0,super-earth-like
3274,K00464.02,2.6,226.02,1.0,super-earth-like
3268,K00460.01,4.03,58.6,1.0,neptune-like
1287,K01700.01,1.54,72.44,1.0,super-earth-like
1283,K01595.01,3.11,22.65,1.0,neptune-like
1281,K01593.02,2.14,61.61,1.0,super-earth-like
1267,K01692.01,2.85,148.26,1.0,super-earth-like
1266,K01688.01,1.62,7380.64,1.0,super-earth-like
1265,K01687.01,1.65,151.31,1.0,super-earth-like
1253,K01536.01,1.1,736.89,1.0,earth-like
1321,K01598.03,1.4,46.19,1.0,earth-like
1312,K01481.01,2.84,287.28,1.0,super-earth-like
1310,K01480.01,3.16,18.36,1.0,neptune-like
1308,K01706.01,1.77,626.79,1.0,super-earth-like
1307,K01705.01,2.8,67.67,1.0,super-earth-like
1304,K01598.02,2.64,3.68,1.0,super-earth-like
1299,K01596.01,0.99,18.87,1.0,earth-like
3267,K00408.01,3.42,138.88,1.0,neptune-like
3259,K00564.02,8.03,6.09,1.0,Gas-Giant
3258,K00564.01,2.75,67.48,1.0,super-earth-like
3256,K00563.01,2.7,124.4,1.0,super-earth-like
3255,K00561.01,1.86,113.59,1.0,super-earth-like
3254,K00510.01,2.59,588.66,1.0,super-earth-like
3252,K00509.02,3.0,75.57,1.0,super-earth-like
3250,K00509.01,2.74,291.34,1.0,super-earth-like
3249,K00508.02,2.85,57.31,1.0,super-earth-like
3247,K00459.02,1.39,201.41,1.0,earth-like
3246,K00459.01,3.24,50.73,1.0,neptune-like
3243,K00457.02,2.37,82.76,1.0,super-earth-like
3240,K00070.01,2.99,80.88,1.0,super-earth-like
1346,K02032.01,2.08,177.81,1.0,super-earth-like
1345,K01959.01,2.55,7.71,1.0,super-earth-like
1344,K01958.01,3.12,56.48,1.0,neptune-like
1341,K01952.04,2.03,19.93,1.0,super-earth-like
1334,K01486.02,3.65,38.2,1.0,neptune-like
1333,K00173.01,2.58,154.16,1.0,super-earth-like
1332,K01486.01,12.04,5.61,1.0,Gas-Giant
1330,K01713.01,1.34,26.31,1.0,earth-like
3238,K00401.02,4.28,2.08,1.0,neptune-like
3237,K00401.01,4.15,20.05,1.0,neptune-like
3236,K00560.01,2.76,18.38,1.0,super-earth-like
3232,K00557.01,2.55,35.62,1.0,super-earth-like
3230,K00082.04,0.63,63.11,1.0,earth-like
3229,K00508.01,3.05,154.36,1.0,neptune-like
3228,K00507.01,3.34,31.27,1.0,neptune-like
3224,K00457.01,2.14,134.02,1.0,super-earth-like
3223,K00456.02,1.89,390.76,1.0,super-earth-like
3222,K00456.01,3.85,83.6,1.0,neptune-like
3219,K00454.01,2.64,14.59,1.0,super-earth-like
3216,K00398.03,1.82,643.54,1.0,super-earth-like
3214,K00398.02,3.44,197.81,1.0,neptune-like
1367,K00219.01,7.79,336.73,1.0,Gas-Giant
1366,K01965.01,1.27,517.89,1.0,earth-like
1362,K01961.01,0.91,609.28,1.0,earth-like
1361,K01960.01,2.17,259.95,1.0,super-earth-like
1360,K01892.01,3.54,7.13,1.0,neptune-like
1358,K01891.01,2.18,25.54,1.0,super-earth-like
1357,K01890.01,1.75,1054.56,1.0,super-earth-like
1354,K01828.01,3.94,5.55,1.0,neptune-like
1351,K01825.01,2.11,42.82,1.0,super-earth-like
1349,K02035.01,2.25,655.43,1.0,super-earth-like
1348,K02034.01,3.26,336.16,1.0,neptune-like
1388,K02038.02,1.88,58.69,1.0,super-earth-like
1386,K01970.01,2.57,40.41,1.0,super-earth-like
1383,K01967.01,1.57,92.16,1.0,super-earth-like
1380,K01895.02,2.04,7.75,1.0,super-earth-like
1379,K01895.01,1.87,20.08,1.0,super-earth-like
1378,K01894.01,7.1,1802.31,1.0,Gas-Giant
1377,K01893.01,1.29,425.04,1.0,earth-like
1373,K01831.01,2.6,6.71,1.0,super-earth-like
1372,K01830.01,2.22,39.1,1.0,super-earth-like
1371,K02038.01,1.69,101.43,1.0,super-earth-like
1368,K02036.02,1.05,19.23,1.0,earth-like
3210,K00555.01,1.63,286.23,1.0,super-earth-like
3205,K00505.03,1.19,202.09,1.0,earth-like
3202,K00505.01,2.24,29.55,1.0,super-earth-like
3198,K00452.01,2.43,637.42,1.0,super-earth-like
3192,K00602.01,2.49,122.66,1.0,super-earth-like
3190,K00601.03,1.64,2307.65,1.0,super-earth-like
3188,K00601.01,2.85,312.93,1.0,super-earth-like
3186,K00551.02,2.76,330.44,1.0,super-earth-like
3184,K00551.01,2.9,127.46,1.0,super-earth-like
3183,K00550.01,2.3,71.85,1.0,super-earth-like
3181,K00503.01,2.28,22.86,1.0,super-earth-like
1414,K01835.02,1.25,380.75,1.0,earth-like
1413,K01835.01,1.38,147.56,1.0,earth-like
1412,K02045.01,2.01,71.0,1.0,super-earth-like
1411,K02044.01,3.4,57.37,1.0,neptune-like
1409,K00220.01,3.55,511.66,1.0,neptune-like
1407,K00214.01,9.06,365.94,1.0,Gas-Giant
1405,K01973.01,1.49,97.96,1.0,earth-like
1403,K01971.01,2.26,18.57,1.0,super-earth-like
1401,K01900.01,1.15,42.62,1.0,earth-like
1399,K01898.01,1.87,262.18,1.0,super-earth-like
1398,K00206.01,13.08,1180.64,1.0,Gas-Giant
1397,K01833.01,1.74,72.66,1.0,super-earth-like
1393,K01832.01,3.0,253.48,1.0,super-earth-like
1433,K01839.01,3.93,329.34,1.0,neptune-like
1432,K02049.01,1.68,2763.39,1.0,super-earth-like
1431,K02048.01,2.12,104.06,1.0,super-earth-like
1430,K02047.01,1.59,348.15,1.0,super-earth-like
1429,K02046.01,3.26,108.3,1.0,neptune-like
1427,K01977.02,0.79,35.37,1.0,earth-like
1426,K01977.01,1.69,25.83,1.0,super-earth-like
1425,K01976.01,2.37,48.98,1.0,super-earth-like
1422,K01907.01,1.75,6.25,1.0,super-earth-like
1420,K01905.01,1.21,57.89,1.0,earth-like
1417,K01838.01,2.73,10.99,1.0,super-earth-like
1416,K01837.01,2.37,11.09,1.0,super-earth-like
1415,K01835.03,1.31,87.79,1.0,earth-like
1452,K02063.01,1.56,373.99,1.0,super-earth-like
1451,K00221.01,6.62,490.24,1.0,Gas-Giant
1450,K02062.01,2.75,26.1,1.0,super-earth-like
1446,K01980.01,2.7,2.66,1.0,super-earth-like
1444,K01978.02,3.37,43.19,1.0,neptune-like
1443,K01978.01,3.09,243.67,1.0,neptune-like
1442,K01909.02,1.15,334.27,1.0,earth-like
1440,K01908.02,1.16,5.26,1.0,earth-like
1439,K00208.01,10.96,1011.87,1.0,Gas-Giant
1438,K01908.01,1.34,12.56,1.0,earth-like
1434,K01840.01,4.67,298.33,1.0,neptune-like
3180,K00082.03,0.95,10.34,1.0,earth-like
3177,K00500.05,1.19,292.35,1.0,earth-like
3175,K00448.01,1.68,9.41,1.0,super-earth-like
3172,K00446.01,2.27,14.73,1.0,super-earth-like
3169,K00597.02,2.06,1746.66,1.0,super-earth-like
3168,K00094.02,3.72,247.48,1.0,neptune-like
3167,K00597.01,3.56,104.37,1.0,neptune-like
3166,K00596.01,1.23,74.7,1.0,earth-like
3161,K00548.01,2.99,65.37,1.0,super-earth-like
3160,K00547.01,3.95,19.39,1.0,neptune-like
3158,K00500.04,1.33,36.9,1.0,earth-like
1470,K00220.02,0.88,252.18,1.0,earth-like
1467,K01988.01,3.21,4435.29,1.0,neptune-like
1462,K01914.01,4.41,81.42,1.0,neptune-like
1461,K01913.01,1.49,179.62,1.0,earth-like
1460,K01911.01,3.14,169.44,1.0,neptune-like
1457,K01847.01,2.65,20.77,1.0,super-earth-like
1455,K01845.01,3.97,1540.07,1.0,neptune-like
1453,K01843.01,1.57,26.2,1.0,super-earth-like
1487,K01997.01,2.45,18.98,1.0,super-earth-like
1486,K01996.01,1.67,25.66,1.0,super-earth-like
1485,K01992.01,2.88,160.33,1.0,super-earth-like
1484,K01990.01,2.44,40.74,1.0,super-earth-like
1481,K01916.02,2.08,206.91,1.0,super-earth-like
1479,K01916.01,2.42,74.36,1.0,super-earth-like
1478,K01915.01,3.07,654.67,1.0,neptune-like
1477,K01852.01,2.72,196.14,1.0,super-earth-like
1476,K01851.01,2.26,350.69,1.0,super-earth-like
1475,K01850.01,2.17,120.76,1.0,super-earth-like
1474,K01849.01,2.94,92.93,1.0,super-earth-like
3157,K00500.03,1.3,64.09,1.0,earth-like
3156,K00500.02,2.16,14.2,1.0,super-earth-like
3155,K00500.01,2.16,21.17,1.0,super-earth-like
3154,K00499.01,1.9,67.06,1.0,super-earth-like
3152,K00444.01,2.08,81.46,1.0,super-earth-like
3151,K00443.01,2.22,45.87,1.0,super-earth-like
3148,K00442.02,1.37,1345.92,1.0,earth-like
3146,K00593.02,3.96,6.86,1.0,neptune-like
3145,K00593.01,2.82,129.18,1.0,super-earth-like
3140,K00546.01,3.28,66.83,1.0,neptune-like
3136,K00543.02,1.5,277.64,1.0,earth-like
3135,K00543.01,2.46,182.7,1.0,super-earth-like
1508,K02002.01,2.05,90.16,1.0,super-earth-like
1506,K02000.01,2.45,16.27,1.0,super-earth-like
1505,K00216.01,6.24,24.0,1.0,Gas-Giant
1504,K01998.01,2.5,295.82,1.0,super-earth-like
1503,K01923.01,1.78,112.48,1.0,super-earth-like
1501,K01922.01,2.38,1331.18,1.0,super-earth-like
1500,K01921.01,3.71,276.53,1.0,neptune-like
1499,K01920.01,2.03,33.53,1.0,super-earth-like
1492,K02058.01,1.26,105.95,1.0,earth-like
1491,K02057.01,1.12,24.71,1.0,earth-like
1536,K00202.01,13.25,1743.61,1.0,Gas-Giant
1533,K01787.01,6.99,3.97,1.0,Gas-Giant
1528,K02006.01,0.81,36.05,1.0,earth-like
1527,K02005.01,1.48,34.85,1.0,earth-like
1524,K01929.01,1.89,253.08,1.0,super-earth-like
1521,K00209.02,7.39,124.64,1.0,Gas-Giant
1517,K01860.02,2.61,92.68,1.0,super-earth-like
1516,K01860.01,2.71,223.15,1.0,super-earth-like
1514,K01858.01,3.26,2.59,1.0,neptune-like
3133,K00082.02,1.34,38.13,1.0,earth-like
3132,K00497.01,2.94,130.35,1.0,super-earth-like
3130,K00496.01,4.47,2342.49,1.0,neptune-like
3127,K00440.02,2.46,133.55,1.0,super-earth-like
3126,K00440.01,2.35,28.32,1.0,super-earth-like
3124,K00439.01,4.45,778.26,1.0,neptune-like
3123,K00438.02,1.87,1.28,1.0,super-earth-like
3122,K00600.01,2.39,666.88,1.0,super-earth-like
3119,K00598.01,2.15,75.09,1.0,super-earth-like
3115,K00085.03,1.58,368.36,1.0,super-earth-like
3114,K00007.01,4.13,1244.44,1.0,neptune-like
3113,K00541.01,2.06,49.89,1.0,super-earth-like
1557,K01867.01,1.11,50.9,1.0,earth-like
1556,K01866.01,3.18,3.58,1.0,neptune-like
1555,K01797.01,2.25,20.82,1.0,super-earth-like
1552,K00196.01,10.05,1004.89,1.0,Gas-Giant
1545,K01931.01,1.75,258.91,1.0,super-earth-like
1538,K01863.01,2.71,33.01,1.0,super-earth-like
3111,K00494.01,1.7,2.3,1.0,super-earth-like
3109,K00492.01,2.9,20.31,1.0,super-earth-like
3104,K00438.01,2.01,23.5,1.0,super-earth-like
3099,K00435.01,4.04,44.11,1.0,neptune-like
3098,K00590.01,3.04,216.55,1.0,neptune-like
3096,K00588.01,1.92,34.93,1.0,super-earth-like
3095,K00587.01,2.41,39.97,1.0,super-earth-like
3094,K00586.01,2.11,60.96,1.0,super-earth-like
3092,K00538.01,2.97,58.63,1.0,super-earth-like
3091,K00537.01,2.53,824.92,1.0,super-earth-like
3088,K00535.01,3.46,293.93,1.0,neptune-like
1578,K00203.01,14.48,1404.81,1.0,Gas-Giant
1576,K01870.01,2.44,99.42,1.0,super-earth-like
1575,K01802.01,2.84,293.42,1.0,super-earth-like
1574,K01801.01,3.11,46.06,1.0,neptune-like
1573,K01800.01,16.51,142.82,1.0,Gas-Giant
1570,K02016.01,1.95,453.2,1.0,super-earth-like
1568,K02013.01,0.97,195.08,1.0,earth-like
1560,K01868.01,1.93,4.34,1.0,super-earth-like
1559,K01867.03,1.04,19.7,1.0,earth-like
1558,K01867.02,2.04,5.29,1.0,super-earth-like
1598,K01875.01,2.85,157.41,1.0,super-earth-like
1597,K01874.02,1.24,21.1,1.0,earth-like
1596,K01874.01,1.93,6.16,1.0,super-earth-like
1595,K01805.03,1.76,258.7,1.0,super-earth-like
1594,K01805.02,2.08,18.32,1.0,super-earth-like
1592,K01805.01,2.96,139.05,1.0,super-earth-like
1588,K02019.01,2.66,64.97,1.0,super-earth-like
1587,K02018.01,2.11,28.66,1.0,super-earth-like
1586,K02017.01,1.18,681.51,1.0,earth-like
1585,K01939.01,1.96,38.21,1.0,super-earth-like
1584,K01938.01,2.37,2.64,1.0,super-earth-like
3087,K00534.02,1.56,315.95,1.0,super-earth-like
3085,K00082.01,2.48,20.98,1.0,super-earth-like
3083,K00490.01,1.41,99.9,1.0,earth-like
3077,K00433.01,4.48,209.11,1.0,neptune-like
3076,K00432.01,3.77,349.4,1.0,neptune-like
3074,K00585.01,2.33,283.28,1.0,super-earth-like
3072,K00584.02,2.63,35.69,1.0,super-earth-like
3071,K00584.01,2.76,98.34,1.0,super-earth-like
3070,K00583.01,2.04,1237.66,1.0,super-earth-like
3069,K00534.01,2.52,101.72,1.0,super-earth-like
3066,K00085.02,1.42,2162.35,1.0,earth-like
3065,K00533.01,2.95,43.72,1.0,super-earth-like
1628,K02025.01,3.29,146.82,1.0,neptune-like
1622,K00204.01,12.4,1072.7,1.0,Gas-Giant
1620,K01880.01,1.28,199.25,1.0,earth-like
1619,K01879.01,3.34,3.63,1.0,neptune-like
1617,K01813.01,2.54,74.48,1.0,super-earth-like
1609,K02022.02,1.9,80.29,1.0,super-earth-like
1608,K02022.01,1.92,210.95,1.0,super-earth-like
1607,K02021.01,1.7,160.99,1.0,super-earth-like
1601,K01940.01,1.71,16.24,1.0,super-earth-like
1600,K01877.01,1.75,16.03,1.0,super-earth-like
1651,K02029.01,1.61,28.76,1.0,super-earth-like
1650,K02028.02,3.19,14.59,1.0,neptune-like
1648,K01952.03,1.18,327.78,1.0,earth-like
1640,K01882.01,2.13,619.65,1.0,super-earth-like
1639,K01881.01,2.93,16.84,1.0,super-earth-like
1638,K01819.01,1.96,53.26,1.0,super-earth-like
1637,K01818.01,2.54,40.09,1.0,super-earth-like
1634,K01815.01,5.12,886.72,1.0,neptune-like
1633,K01814.01,17.38,3158.09,1.0,Gas-Giant
1631,K02026.01,1.69,744.97,1.0,super-earth-like
3064,K00532.01,2.87,453.2,1.0,super-earth-like
3063,K00488.01,2.03,98.22,1.0,super-earth-like
3062,K00487.01,2.19,128.18,1.0,super-earth-like
3060,K00486.01,2.78,41.24,1.0,super-earth-like
3058,K00484.01,2.22,22.05,1.0,super-earth-like
3056,K00431.01,2.82,35.13,1.0,super-earth-like
3053,K00430.01,2.53,12.87,1.0,super-earth-like
3052,K00429.01,4.17,78.72,1.0,neptune-like
3051,K00428.01,13.44,1140.56,1.0,Gas-Giant
3042,K00530.01,2.08,80.52,1.0,super-earth-like
1670,K02337.01,2.14,57.43,1.0,super-earth-like
1667,K02253.01,1.72,49.67,1.0,super-earth-like
1662,K01889.01,3.05,54.59,1.0,neptune-like
1660,K01886.01,2.75,796.76,1.0,super-earth-like
1659,K01885.01,1.82,256.14,1.0,super-earth-like
1658,K01824.02,1.57,1797.15,1.0,super-earth-like
1657,K01824.01,1.62,658.37,1.0,super-earth-like
1656,K01822.01,4.37,7.56,1.0,neptune-like
1654,K01820.01,1.63,231.86,1.0,super-earth-like
1653,K02031.01,1.67,27.35,1.0,super-earth-like
1652,K02029.02,0.92,54.96,1.0,earth-like
1692,K02342.01,1.51,177.24,1.0,super-earth-like
1690,K02340.01,1.47,112.06,1.0,earth-like
1688,K02260.01,1.05,509.24,1.0,earth-like
1686,K02257.01,2.05,13.63,1.0,super-earth-like
1685,K02256.01,2.02,13.09,1.0,super-earth-like
1679,K02104.01,2.41,1389.18,1.0,super-earth-like
1678,K00223.01,2.65,233.26,1.0,super-earth-like
1672,K02339.01,1.12,247.21,1.0,earth-like
3040,K00528.03,2.99,43.8,1.0,super-earth-like
3039,K00528.02,3.29,5.55,1.0,neptune-like
3038,K00528.01,2.88,121.26,1.0,super-earth-like
3036,K00483.01,2.51,216.54,1.0,super-earth-like
3033,K00481.03,2.41,11.36,1.0,super-earth-like
3032,K00481.02,1.59,704.5,1.0,super-earth-like
3029,K00427.02,2.98,13.29,1.0,super-earth-like
3024,K00581.01,3.21,147.07,1.0,neptune-like
3023,K00580.01,2.54,178.27,1.0,super-earth-like
3022,K00579.02,1.63,190.67,1.0,super-earth-like
3021,K00579.01,1.46,437.85,1.0,earth-like
3020,K00578.01,3.89,308.76,1.0,neptune-like
3017,K00526.01,2.89,821.44,1.0,super-earth-like
3016,K00085.01,2.56,569.5,1.0,super-earth-like
3012,K00481.01,2.3,83.86,1.0,super-earth-like
1714,K02350.01,1.98,1817.38,1.0,super-earth-like
1705,K00234.01,3.27,177.26,1.0,neptune-like
1701,K02177.01,2.5,5.13,1.0,super-earth-like
1699,K02109.01,2.58,69.48,1.0,super-earth-like
1696,K02106.01,1.87,103.3,1.0,super-earth-like
1695,K02105.01,1.25,236.21,1.0,earth-like
1735,K02113.02,2.34,47.99,1.0,super-earth-like
1733,K02352.02,1.39,1459.41,1.0,earth-like
1732,K02352.01,1.58,459.23,1.0,super-earth-like
1725,K02266.01,1.6,962.58,1.0,super-earth-like
1724,K02183.02,1.35,276.82,1.0,earth-like
1723,K02183.01,2.04,41.5,1.0,super-earth-like
1719,K00223.02,2.64,7.72,1.0,super-earth-like
1718,K02113.01,2.62,34.06,1.0,super-earth-like
1717,K02111.02,2.19,129.48,1.0,super-earth-like
1716,K02111.01,1.37,367.18,1.0,earth-like
3011,K00480.01,2.42,244.48,1.0,super-earth-like
3010,K00479.01,2.97,18.05,1.0,super-earth-like
3009,K00478.01,2.46,8.04,1.0,super-earth-like
3008,K00477.01,2.31,32.94,1.0,super-earth-like
3004,K00423.01,14.43,137.06,1.0,Gas-Giant
3002,K00421.01,11.76,252.22,1.0,Gas-Giant
2998,K00575.01,2.8,51.53,1.0,super-earth-like
2994,K00523.02,2.68,21.4,1.0,super-earth-like
2990,K00520.03,2.27,14.88,1.0,super-earth-like
2982,K00282.01,2.98,45.66,1.0,super-earth-like
2976,K00356.01,5.95,2925.17,1.0,neptune-like
1760,K00232.01,5.65,152.76,1.0,neptune-like
1758,K02122.01,5.37,90.85,1.0,neptune-like
1756,K02120.01,1.75,83.63,1.0,super-earth-like
1755,K02119.01,1.65,3069.59,1.0,super-earth-like
1751,K00241.01,2.2,23.15,1.0,super-earth-like
1747,K02276.01,2.67,12557.23,1.0,super-earth-like
1746,K00235.01,2.04,119.75,1.0,super-earth-like
1738,K02116.01,2.44,5545.35,1.0,super-earth-like
1736,K02114.01,2.19,66.94,1.0,super-earth-like
2975,K00355.01,2.37,570.65,1.0,super-earth-like
2973,K00354.01,2.27,63.95,1.0,super-earth-like
2970,K00299.01,1.88,1517.84,1.0,super-earth-like
2968,K00298.01,1.5,23.88,1.0,earth-like
2967,K00297.01,2.03,574.71,1.0,super-earth-like
